13. 5. 27 오후 8:41
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	
Total:           	   27670	643733	                    3723937	                      4514362	
Remaining:       	   27670	643733	                    3723937	                      4514362	
Unique:          	   24217	622580	                    3573571	                      4341464	
Unique Remaining:	   24217	622580	                    3573571	                      4341464	


Individual File Statistics:

File Name   	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
pep-0216.txt	            35	                35	             33	                       33	        819	            819	         811	                   811	                             4314	                                 4314	                              4246	                                        4246	                               5277	                                   5277	                                5206	                                          5206	
pep-0217.txt	            10	                10	              7	                        7	        233	            233	         224	                   224	                             1369	                                 1369	                              1293	                                        1293	                               1677	                                   1677	                                1598	                                          1598	
pep-0218.txt	            49	                49	             42	                       42	       1116	           1116	        1095	                  1095	                             5964	                                 5964	                              5816	                                        5816	                               7691	                                   7691	                                7532	                                          7532	
pep-0219.txt	            33	                33	             28	                       28	       1258	           1258	        1247	                  1247	                             6817	                                 6817	                              6715	                                        6715	                               8342	                                   8342	                                8237	                                          8237	
pep-0220.txt	             4	                 4	              2	                        2	         96	             96	          88	                    88	                              630	                                  630	                               562	                                         562	                                730	                                    730	                                 659	                                           659	
pep-0221.txt	            20	                20	             14	                       14	        571	            571	         551	                   551	                             3103	                                 3103	                              2960	                                        2960	                               3863	                                   3863	                                3709	                                          3709	
pep-0222.txt	            30	                30	             27	                       27	       1113	           1113	        1103	                  1103	                             6246	                                 6246	                              6168	                                        6168	                               8648	                                   8648	                                8566	                                          8566	
pep-0223.txt	            42	                42	             36	                       36	       1135	           1135	        1113	                  1113	                             5808	                                 5808	                              5647	                                        5647	                               7275	                                   7275	                                7101	                                          7101	
pep-0224.txt	            66	                66	             59	                       59	       1252	           1252	        1231	                  1231	                             6659	                                 6659	                              6502	                                        6502	                               8358	                                   8358	                                8190	                                          8190	
pep-0225.txt	           210	               210	            203	                      203	       3989	           3989	        3962	                  3962	                            22136	                                22136	                             21972	                                       21972	                              28151	                                  28151	                               27968	                                         27968	
pep-0226.txt	            32	                32	             17	                       17	        709	            709	         372	                   372	                             3488	                                 3488	                              1915	                                        1915	                               4302	                                   4302	                                2325	                                          2325	
pep-0227.txt	            93	                93	             84	                       84	       3131	           3131	        3116	                  3116	                            16501	                                16501	                             16357	                                       16357	                              20942	                                  20942	                               20795	                                         20795	
pep-0228.txt	            36	                36	             30	                       30	        683	            683	         663	                   663	                             3671	                                 3671	                              3534	                                        3534	                               4480	                                   4480	                                4332	                                          4332	
pep-0229.txt	            28	                28	             22	                       22	        604	            604	         584	                   584	                             3273	                                 3273	                              3127	                                        3127	                               4064	                                   4064	                                3907	                                          3907	
pep-0230.txt	           119	               119	            113	                      113	       2037	           2037	        2024	                  2024	                            11149	                                11149	                             11038	                                       11038	                              13710	                                  13710	                               13595	                                         13595	
pep-0231.txt	           100	               100	             89	                       89	       2240	           2240	        2204	                  2204	                            13767	                                13767	                             13494	                                       13494	                              20779	                                  20779	                               20422	                                         20422	
pep-0232.txt	            61	                61	             51	                       51	       1079	           1079	        1049	                  1049	                             6157	                                 6157	                              5951	                                        5951	                               7650	                                   7650	                                7419	                                          7419	
pep-0233.txt	            25	                25	             21	                       21	        403	            403	         392	                   392	                             2411	                                 2411	                              2315	                                        2315	                               2914	                                   2914	                                2814	                                          2814	
pep-0234.txt	           114	               114	            109	                      109	       3032	           3032	        3015	                  3015	                            15949	                                15949	                             15831	                                       15831	                              20066	                                  20066	                               19939	                                         19939	
pep-0235.txt	            29	                29	             26	                       26	        936	            936	         927	                   927	                             5067	                                 5067	                              4993	                                        4993	                               6473	                                   6473	                                6396	                                          6396	
pep-0236.txt	           102	               102	             93	                       93	       1999	           1999	        1971	                  1971	                            10635	                                10635	                             10455	                                       10455	                              13282	                                  13282	                               13086	                                         13086	
pep-0237.txt	            79	                79	             68	                       68	       2154	           2154	        2127	                  2127	                            10933	                                10933	                             10734	                                       10734	                              13858	                                  13858	                               13646	                                         13646	
pep-0238.txt	           114	               114	            104	                      104	       3507	           3507	        3481	                  3481	                            18215	                                18215	                             18025	                                       18025	                              22761	                                  22761	                               22558	                                         22558	
pep-0239.txt	            34	                34	             27	                       27	        697	            697	         675	                   675	                             3713	                                 3713	                              3564	                                        3564	                               4588	                                   4588	                                4427	                                          4427	
pep-0240.txt	            22	                22	             13	                       13	        442	            442	         365	                   365	                             2448	                                 2448	                              2014	                                        2014	                               2972	                                   2972	                                2458	                                          2458	
pep-0241.txt	            58	                58	             44	                       44	        987	            987	         959	                   959	                             5600	                                 5600	                              5396	                                        5396	                               7215	                                   7215	                                7000	                                          7000	
pep-0242.txt	            50	                50	             42	                       42	       1323	           1323	        1300	                  1300	                             6751	                                 6751	                              6595	                                        6595	                               8694	                                   8694	                                8526	                                          8526	
pep-0243.txt	            42	                42	             36	                       36	        881	            881	         861	                   861	                             5209	                                 5209	                              5071	                                        5071	                               6415	                                   6415	                                6266	                                          6266	
pep-0244.txt	            42	                42	             31	                       31	        919	            919	         864	                   864	                             4984	                                 4984	                              4617	                                        4617	                               6107	                                   6107	                                5695	                                          5695	
pep-0245.txt	           124	               124	            115	                      115	       2390	           2390	        2364	                  2364	                            14271	                                14271	                             14083	                                       14083	                              17789	                                  17789	                               17587	                                         17587	
pep-0246.txt	           128	               128	            117	                      117	       4436	           4436	        4401	                  4401	                            24692	                                24692	                             24421	                                       24421	                              31389	                                  31389	                               31099	                                         31099	
pep-0247.txt	            36	                36	             28	                       28	        901	            901	         879	                   879	                             4847	                                 4847	                              4678	                                        4678	                               6151	                                   6151	                                5971	                                          5971	
pep-0248.txt	            48	                48	             43	                       43	       1592	           1592	        1573	                  1573	                             8490	                                 8490	                              8350	                                        8350	                              11592	                                  11592	                               11441	                                         11441	
pep-0249.txt	           341	               341	            326	                      326	       5830	           5830	        5694	                  5694	                            34697	                                34697	                             33812	                                       33812	                              40306	                                  40306	                               39294	                                         39294	
pep-0250.txt	            27	                27	             20	                       20	        718	            718	         696	                   696	                             4175	                                 4175	                              4021	                                        4021	                               5255	                                   5255	                                5089	                                          5089	
pep-0251.txt	            21	                21	             15	                       15	        360	            360	         339	                   339	                             2075	                                 2075	                              1930	                                        1930	                               2462	                                   2462	                                2305	                                          2305	
pep-0252.txt	           129	               129	            112	                      112	       4635	           4635	        4599	                  4599	                            25248	                                25248	                             25012	                                       25012	                              31823	                                  31823	                               31571	                                         31571	
pep-0253.txt	           186	               186	            178	                      178	       6335	           6335	        6293	                  6293	                            33091	                                33091	                             32811	                                       32811	                              41895	                                  41895	                               41579	                                         41579	
pep-0254.txt	             8	                 8	              3	                        3	         88	             88	          69	                    69	                              548	                                  548	                               422	                                         422	                                621	                                    621	                                 484	                                           484	
pep-0255.txt	            90	                90	             82	                       82	       2858	           2858	        2834	                  2834	                            15139	                                15139	                             14961	                                       14961	                              19922	                                  19922	                               19731	                                         19731	
pep-0256.txt	            84	                84	             81	                       81	       1408	           1408	        1395	                  1395	                             8877	                                 8877	                              8768	                                        8768	                              10208	                                  10208	                               10089	                                         10089	
pep-0257.txt	            69	                69	             60	                       60	       1653	           1653	        1632	                  1632	                             9523	                                 9523	                              9268	                                        9268	                              11465	                                  11465	                               11198	                                         11198	
pep-0258.txt	           267	               267	            258	                      258	       4673	           4673	        4613	                  4613	                            29330	                                29330	                             28906	                                       28906	                              34953	                                  34953	                               34468	                                         34468	
pep-0259.txt	            38	                38	             28	                       28	        576	            576	         551	                   551	                             3004	                                 3004	                              2829	                                        2829	                               3693	                                   3693	                                3506	                                          3506	
pep-0260.txt	            22	                22	             13	                       13	        330	            330	         306	                   306	                             1805	                                 1805	                              1642	                                        1642	                               2172	                                   2172	                                1997	                                          1997	
pep-0261.txt	            70	                70	             55	                       55	       1439	           1439	        1408	                  1408	                             7632	                                 7632	                              7422	                                        7422	                               9874	                                   9874	                                9651	                                          9651	
pep-0262.txt	            66	                66	             57	                       57	       1755	           1755	        1730	                  1730	                             9849	                                 9849	                              9658	                                        9658	                              12423	                                  12423	                               12219	                                         12219	
pep-0263.txt	            68	                68	             57	                       57	       1199	           1199	        1166	                  1166	                             6390	                                 6390	                              6150	                                        6150	                               8093	                                   8093	                                7838	                                          7838	
pep-0264.txt	            35	                35	             28	                       28	        695	            695	         673	                   673	                             3859	                                 3859	                              3691	                                        3691	                               4673	                                   4673	                                4493	                                          4493	
pep-0265.txt	            53	                53	             43	                       43	       1065	           1065	        1040	                  1040	                             5683	                                 5683	                              5495	                                        5495	                               6972	                                   6972	                                6772	                                          6772	
pep-0266.txt	            78	                78	             67	                       67	       2705	           2705	        2676	                  2676	                            14916	                                14916	                             14688	                                       14688	                              19105	                                  19105	                               18863	                                         18863	
pep-0267.txt	            53	                53	             45	                       45	       1337	           1337	        1312	                  1312	                             7479	                                 7479	                              7303	                                        7303	                              10272	                                  10272	                               10082	                                         10082	
pep-0268.txt	            39	                39	             31	                       31	       1294	           1294	        1267	                  1267	                             7611	                                 7611	                              7327	                                        7327	                               8766	                                   8766	                                8450	                                          8450	
pep-0269.txt	            40	                40	             32	                       32	        973	            973	         948	                   948	                             5579	                                 5579	                              5389	                                        5389	                               6986	                                   6986	                                6783	                                          6783	
pep-0270.txt	            21	                21	             13	                       13	        349	            349	         324	                   324	                             1865	                                 1865	                              1682	                                        1682	                               2263	                                   2263	                                2067	                                          2067	
pep-0271.txt	            24	                24	             18	                       18	        199	            199	         171	                   171	                             1282	                                 1282	                              1074	                                        1074	                               1446	                                   1446	                                1223	                                          1223	
pep-0272.txt	            48	                48	             38	                       38	       1276	           1276	        1252	                  1252	                             6891	                                 6891	                              6703	                                        6703	                               8776	                                   8776	                                8577	                                          8577	
pep-0273.txt	            44	                44	             37	                       37	       1365	           1365	        1342	                  1342	                             6807	                                 6807	                              6641	                                        6641	                               8436	                                   8436	                                8258	                                          8258	
pep-0274.txt	            31	                31	             21	                       21	        654	            654	         627	                   627	                             3420	                                 3420	                              3219	                                        3219	                               4217	                                   4217	                                4003	                                          4003	
pep-0275.txt	            69	                69	             57	                       57	       1421	           1421	        1387	                  1387	                             7766	                                 7766	                              7515	                                        7515	                              11740	                                  11740	                               11474	                                         11474	
pep-0276.txt	           116	               116	            101	                      101	       2361	           2361	        2321	                  2321	                            12505	                                12505	                             12227	                                       12227	                              15519	                                  15519	                               15219	                                         15219	
pep-0277.txt	            22	                22	             14	                       14	        641	            641	         616	                   616	                             3506	                                 3506	                              3316	                                        3316	                               4276	                                   4276	                                4073	                                          4073	
pep-0278.txt	            26	                26	             17	                       17	       1420	           1420	        1394	                  1394	                             7202	                                 7202	                              7007	                                        7007	                               9039	                                   9039	                                8831	                                          8831	
pep-0279.txt	            37	                37	             30	                       30	       1244	           1244	        1220	                  1220	                             6763	                                 6763	                              6591	                                        6591	                               8546	                                   8546	                                8361	                                          8361	
pep-0280.txt	           102	               102	             95	                       95	       2577	           2577	        2554	                  2554	                            13636	                                13636	                             13481	                                       13481	                              18979	                                  18979	                               18811	                                         18811	
pep-0281.txt	            34	                34	             22	                       22	        656	            656	         625	                   625	                             3427	                                 3427	                              3188	                                        3188	                               4184	                                   4184	                                3930	                                          3930	
pep-0282.txt	           147	               147	            139	                      139	       3011	           3011	        2986	                  2986	                            17107	                                17107	                             16907	                                       16907	                              21918	                                  21918	                               21705	                                         21705	
pep-0283.txt	            88	                88	             80	                       80	       1584	           1584	        1491	                  1491	                             8544	                                 8544	                              8011	                                        8011	                              10811	                                  10811	                               10163	                                         10163	
pep-0284.txt	            65	                65	             52	                       52	       1568	           1568	        1530	                  1530	                             8231	                                 8231	                              7978	                                        7978	                              10263	                                  10263	                                9985	                                          9985	
pep-0285.txt	           100	               100	             89	                       89	       2499	           2499	        2470	                  2470	                            12606	                                12606	                             12406	                                       12406	                              16270	                                  16270	                               16054	                                         16054	
pep-0286.txt	            27	                27	             23	                       23	        562	            562	         542	                   542	                             3189	                                 3189	                              3054	                                        3054	                               3895	                                   3895	                                3748	                                          3748	
pep-0287.txt	           200	               200	            185	                      185	       4482	           4482	        4429	                  4429	                            26544	                                26544	                             26051	                                       26051	                              31691	                                  31691	                               31151	                                         31151	
pep-0288.txt	            33	                33	             26	                       26	        704	            704	         681	                   681	                             4214	                                 4214	                              4054	                                        4054	                               5335	                                   5335	                                5163	                                          5163	
pep-0289.txt	            90	                90	             82	                       82	       1539	           1539	        1511	                  1511	                             8518	                                 8518	                              8244	                                        8244	                              10242	                                  10242	                                9935	                                          9935	
pep-0290.txt	           144	               144	            123	                      123	       1836	           1836	        1797	                  1797	                            11423	                                11423	                             11053	                                       11053	                              13280	                                  13280	                               12879	                                         12879	
pep-0291.txt	            29	                29	             24	                       24	        697	            697	         674	                   674	                             4154	                                 4154	                              3982	                                        3982	                               5944	                                   5944	                                5759	                                          5759	
pep-0292.txt	            47	                47	             40	                       40	       1100	           1100	        1074	                  1074	                             6532	                                 6532	                              6327	                                        6327	                               7941	                                   7941	                                7722	                                          7722	
pep-0293.txt	            87	                87	             78	                       78	       2067	           2067	        2036	                  2036	                            12014	                                12014	                             11782	                                       11782	                              15383	                                  15383	                               15136	                                         15136	
pep-0294.txt	            24	                24	             17	                       17	        432	            432	         407	                   407	                             2415	                                 2415	                              2217	                                        2217	                               2950	                                   2950	                                2739	                                          2739	
pep-0295.txt	            15	                15	              8	                        8	        390	            390	         365	                   365	                             2301	                                 2301	                              2103	                                        2103	                               3073	                                   3073	                                2862	                                          2862	
pep-0296.txt	            68	                68	             58	                       58	       2557	           2557	        2527	                  2527	                            13233	                                13233	                             12988	                                       12988	                              16413	                                  16413	                               16153	                                         16153	
pep-0297.txt	            30	                30	             18	                       18	        500	            500	         456	                   456	                             2909	                                 2909	                              2602	                                        2602	                               3496	                                   3496	                                3161	                                          3161	
pep-0298.txt	            53	                53	             42	                       42	       1097	           1097	        1053	                  1053	                             6585	                                 6585	                              6227	                                        6227	                               8430	                                   8430	                                8045	                                          8045	
pep-0299.txt	            32	                32	             22	                       22	        477	            477	         448	                   448	                             2753	                                 2753	                              2529	                                        2529	                               3322	                                   3322	                                3084	                                          3084	
pep-0301.txt	            98	                98	             91	                       91	       1917	           1917	        1904	                  1904	                            11413	                                11413	                             11184	                                       11184	                              13252	                                  13252	                               13009	                                         13009	
pep-0302.txt	           112	               112	            106	                      106	       4116	           4116	        4087	                  4087	                            23034	                                23034	                             22770	                                       22770	                              27165	                                  27165	                               26864	                                         26864	
pep-0303.txt	            40	                40	             30	                       30	       1104	           1104	        1074	                  1074	                             5741	                                 5741	                              5488	                                        5488	                               7261	                                   7261	                                6993	                                          6993	
pep-0304.txt	            75	                75	             68	                       68	       2000	           2000	        1975	                  1975	                            11352	                                11352	                             11098	                                       11098	                              13390	                                  13390	                               13105	                                         13105	
pep-0305.txt	            99	                99	             91	                       91	       2118	           2118	        2092	                  2092	                            12315	                                12315	                             12048	                                       12048	                              14600	                                  14600	                               14302	                                         14302	
pep-0306.txt	            29	                29	             22	                       22	        469	            469	         444	                   444	                             2600	                                 2600	                              2414	                                        2414	                               3153	                                   3153	                                2954	                                          2954	
pep-0307.txt	           154	               154	            147	                      147	       5011	           5011	        4982	                  4982	                            26873	                                26873	                             26654	                                       26654	                              34008	                                  34008	                               33772	                                         33772	
pep-0308.txt	            88	                88	             79	                       79	       2521	           2521	        2496	                  2496	                            11915	                                11915	                             11711	                                       11711	                              16481	                                  16481	                               16260	                                         16260	
pep-0309.txt	            78	                78	             72	                       72	       1457	           1457	        1433	                  1433	                             8259	                                 8259	                              8032	                                        8032	                               9857	                                   9857	                                9599	                                          9599	
pep-0310.txt	            61	                61	             50	                       50	       1193	           1193	        1158	                  1158	                             6467	                                 6467	                              6165	                                        6165	                               7982	                                   7982	                                7624	                                          7624	
pep-0311.txt	            37	                37	             28	                       28	       1309	           1309	        1280	                  1280	                             7543	                                 7543	                              7316	                                        7316	                               9396	                                   9396	                                9154	                                          9154	
pep-0312.txt	            49	                49	             38	                       38	        767	            767	         738	                   738	                             4522	                                 4522	                              4295	                                        4295	                               5576	                                   5576	                                5336	                                          5336	
pep-0313.txt	            28	                28	             21	                       21	        746	            746	         720	                   720	                             3619	                                 3619	                              3420	                                        3420	                               4484	                                   4484	                                4271	                                          4271	
pep-0314.txt	            83	                83	             44	                       44	       1218	           1218	         929	                   929	                             7077	                                 7077	                              5410	                                        5410	                               8933	                                   8933	                                6898	                                          6898	
pep-0315.txt	            39	                39	             32	                       32	        558	            558	         544	                   544	                             2994	                                 2994	                              2903	                                        2903	                               3784	                                   3784	                                3686	                                          3686	
pep-0316.txt	           107	               107	             92	                       92	       1962	           1962	        1916	                  1916	                            11997	                                11997	                             11572	                                       11572	                              14503	                                  14503	                               14025	                                         14025	
pep-0317.txt	           131	               131	            120	                      120	       2095	           2095	        2056	                  2056	                            12362	                                12362	                             12016	                                       12016	                              14434	                                  14434	                               14039	                                         14039	
pep-0318.txt	           190	               190	            176	                      176	       4347	           4347	        4269	                  4269	                            24973	                                24973	                             24447	                                       24447	                              30254	                                  30254	                               29614	                                         29614	
pep-0319.txt	           121	               121	             97	                       97	       1706	           1706	        1617	                  1617	                            10777	                                10777	                             10081	                                       10081	                              14801	                                  14801	                               13930	                                         13930	
pep-0320.txt	            73	                73	             36	                       36	        951	            951	         411	                   411	                             5264	                                 5264	                              2268	                                        2268	                               6485	                                   6485	                                2723	                                          2723	
pep-0321.txt	            33	                33	             27	                       27	        576	            576	         552	                   552	                             3782	                                 3782	                              3568	                                        3568	                               4278	                                   4278	                                4033	                                          4033	
pep-0322.txt	            48	                48	             39	                       39	        825	            825	         774	                   774	                             4806	                                 4806	                              4430	                                        4430	                               5693	                                   5693	                                5247	                                          5247	
pep-0323.txt	            88	                88	             77	                       77	       2653	           2653	        2616	                  2616	                            14508	                                14508	                             14237	                                       14237	                              19123	                                  19123	                               18803	                                         18803	
pep-0324.txt	           139	               139	            128	                      128	       2451	           2451	        2419	                  2419	                            14509	                                14509	                             14249	                                       14249	                              18028	                                  18028	                               17752	                                         17752	
pep-0325.txt	            60	                60	             50	                       50	       1389	           1389	        1349	                  1349	                             8090	                                 8090	                              7803	                                        7803	                              10368	                                  10368	                               10054	                                         10054	
pep-0326.txt	           104	               104	             94	                       94	       2586	           2586	        2557	                  2557	                            15133	                                15133	                             14815	                                       14815	                              20453	                                  20453	                               20102	                                         20102	
pep-0327.txt	           318	               318	            304	                      304	       5690	           5690	        5655	                  5655	                            32435	                                32435	                             32053	                                       32053	                              37923	                                  37923	                               37504	                                         37504	
pep-0328.txt	            93	                93	             83	                       83	       1500	           1500	        1456	                  1456	                             8803	                                 8803	                              8481	                                        8481	                              10341	                                  10341	                                9970	                                          9970	
pep-0329.txt	            59	                59	             53	                       53	       1276	           1276	        1252	                  1252	                             7666	                                 7666	                              7441	                                        7441	                               9697	                                   9697	                                9441	                                          9441	
pep-0330.txt	            47	                47	             39	                       39	       1308	           1308	        1282	                  1282	                             7212	                                 7212	                              7002	                                        7002	                               8814	                                   8814	                                8591	                                          8591	
pep-0331.txt	            47	                47	             36	                       36	       1048	           1048	        1002	                  1002	                             6519	                                 6519	                              6199	                                        6199	                               7792	                                   7792	                                7442	                                          7442	
pep-0332.txt	            22	                22	             15	                       15	        338	            338	         312	                   312	                             2041	                                 2041	                              1792	                                        1792	                               2351	                                   2351	                                2070	                                          2070	
pep-0333.txt	           187	               187	            180	                      180	       6528	           6528	        6527	                  6527	                            37417	                                37417	                             37303	                                       37303	                              43722	                                  43722	                               43603	                                         43603	
pep-0334.txt	            91	                91	             77	                       77	       1671	           1671	        1600	                  1600	                            10308	                                10308	                              9774	                                        9774	                              12795	                                  12795	                               12103	                                         12103	
pep-0335.txt	            63	                63	             55	                       55	       1333	           1333	        1329	                  1329	                             7698	                                 7698	                              7562	                                        7562	                               8974	                                   8974	                                8830	                                          8830	
pep-0336.txt	            37	                37	             21	                       21	        342	            342	         275	                   275	                             1921	                                 1921	                              1532	                                        1532	                               2661	                                   2661	                                2142	                                          2142	
pep-0337.txt	            65	                65	             56	                       56	        662	            662	         595	                   595	                             4191	                                 4191	                              3777	                                        3777	                               4924	                                   4924	                                4448	                                          4448	
pep-0338.txt	            70	                70	             62	                       62	       2033	           2033	        2006	                  2006	                            11519	                                11519	                             11221	                                       11221	                              13525	                                  13525	                               13195	                                         13195	
pep-0339.txt	           117	               117	            115	                      115	       3393	           3393	        3391	                  3391	                            18652	                                18652	                             18614	                                       18614	                              22359	                                  22359	                               22321	                                         22321	
pep-0340.txt	           111	               111	             99	                       99	       3078	           3078	        3047	                  3047	                            16710	                                16710	                             16527	                                       16527	                              22166	                                  22166	                               21964	                                         21964	
pep-0341.txt	            26	                26	             20	                       20	        342	            342	         318	                   318	                             2041	                                 2041	                              1854	                                        1854	                               2851	                                   2851	                                2651	                                          2651	
pep-0342.txt	           108	               108	             98	                       98	       3373	           3373	        3353	                  3353	                            19033	                                19033	                             18888	                                       18888	                              25350	                                  25350	                               25195	                                         25195	
pep-0343.txt	           190	               190	            169	                      169	       4912	           4912	        4803	                  4803	                            27195	                                27195	                             26642	                                       26642	                              36475	                                  36475	                               35808	                                         35808	
